confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,"Decide to be happy today, to live with what is yours - you're family, your business, your job. If you can't have what you like, maybe you can like what you have. Just for today, be kind, cheerful, caring and understanding. Be your best, dress your best, talk softly, look for the bright side of th...",762d73103d2aa91bc37de6b371c7ab6c,male,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,2,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"it is official: i have no life. wednesday, i went to silks practice from 8-10am. we learned more to our routine (which is gay because miss staats made it up) and found out the theme this year is 'latino music'. oh, how fun it will be to see our 10-person marching band try to play latino. i went h...",3856856,1,BLOG,6843d1689d61b53eeae097b1,,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,1: Very Feminine,"Should you be looking for a formidable volleyball on the cheaper part in the price tag range, have a look at find a volleyball tournament. So as to perform volleyball in the right way and also in comfort, you'll have to make sure that you wear the right kind of shoes. The right kind of shoes are ...",fdf4388adbb23c962bb7733144f0710a,male,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,1,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"Life as we all know is full of struggles and challenges. You may not always get what you want but never give up, there are more colorful days ahead. There is no greater gift than having life. As long as there is life there is hope.",3b69947ff2eb3bfad17d2a7622bd3b5a,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"Perhaps you are already acquainted with some of the available information regarding shaklee vitamins. But we have noticed that not all of it can be useful, it just depends on your specific needs. There are many trustworthy resources about it, plus other associated aspects that you have to conside...",c5651306c67e6ba88fd77acf4e7efc06,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,4: Somewhat Masculine,"As you may already know producing music beats is quite pricey these days. If you want to create good quality tracks, you need to get the most current music recording equipment or ideally a full top notch recording studio along with the required tools for getting the maximum out of every sound. Of...",e382464fdfa06c317fce661a715e83c0,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,4,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,People gathered at the backyard barbecue. They were mingling and having a good time talking. The food was looking great on the grill. The barbecue master was doing an excellent job grilling. Finally everyone started stuffing their faces.,21633_2,Male,PASTEL,6843d1689d61b53eeae097b1,,I agree,4,3
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"You can aquire a wonderful low cost when you have such things as overall health, life, and property insurance using the same firm. If you decide to switch your vehicle insurance plan to another company rather than the one which manages your own home insurance coverage, your home insurance coverag...",3b9ed383e8eec9c26cafe3f3bcd79416,male,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,This is an attention check. Please select 'Neutral (3)' and '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts',2,,,6843d1689d61b53eeae097b1,,I agree,3,2
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,"Today is a cool day, since I am so cool. I had an orange for breakfast, rice for lunch, and I guess I will have a&w for supper. thats nice",7689655f5df5de14b1584b49799e4bda,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,2,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,yesterday was a blast...had so much fun tat i cant even begin to describe the feelin of it...it was unexpected tho...cant imagine how it all started or happened...just came on spontaneously u know wat i mean...well...all good outings r always unexpected n spontaneous...if its planned then half th...,4037808,1,BLOG,6843d1689d61b53eeae097b1,,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"In case you may be searching for some thing to sit on to take it easy, look over a book, enjoy TV, or possibly even take a snooze, saucer chairs really are the best option. They are usually designed for ease and comfort which in turn is boosted owing to the fact that they supply support for your ...",7897e5f1f22f11f4fe937c0f5195559e,male,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,"Wow, yep I havent written in here in like two weeks atleast, but I'm not gonna try to put a shitload of stuff in here. I got my senior pictures back yesterday, and they're actually pretty good. Or atleast like 4 of em are... I'm hoping that I'll still be able to get professional ones, even though...",4141228,1,BLOG,6843d1689d61b53eeae097b1,,I agree,2,4
4: Very Confident. You were very certain about your judgment with no hesitation,,4: Somewhat Masculine,"today our orchestra had a car wash so i didn't eat AS much so today i ate: a plain bagel, half a mountain dew, grapes, half a peanut butter sandwich, a bite of a brownie, some dry apple jacks, some dry honey grahms, half a bowl of mac n cheese, and 2 or maybe 3 glasses of kool aidtoday i ate a ha...",4228481,1,BLOG,6843d1689d61b53eeae097b1,,I agree,4,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"I wish u all the best.what you believe governs what you do and determines who you areI like to think of God as love,he is able to heal our lands and our hearts",7a60812923db1371d883f5562d33b0ed,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"The fog and reporters have both gathered on the docks. Sports fans and stars alike begin their ferry ride, amidst radio interviews. Baseball icons wave to passersby and fans. The ferry pulls out of the dock slowly, even still almost managing to tip some members of the crowd overboard. As they cross the river, fans have found other boats to join them, and show their support.",38386_1,Female,PASTEL,6843d1689d61b53eeae097b1,,I agree,3,4
1: Not Confident. You were unsure or found the text ambiguous,,5: Very Masculine,This is an attention check. Please select 'Very Masculine (5)' and '1: Not Confident. You were unsure or found the text ambiguous',3,,,6843d1689d61b53eeae097b1,,I agree,5,1
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"July 27, 2004 5:27 PM I had my first and last encounter with cutting today. I just wanted to see...Why so many people do it...Does it help you forget. Well I was too stupid to think of using a razor blade(and I don't know if I even have one). So I used knives which didn't cut very deep. Since it ...",4088797,1,BLOG,6843d1689d61b53eeae097b1,,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,The charity event drew a happy crowd. The first speaker talked about the importance of happiness. The next speaker gave testimony of the joy of liffe. The grand total of giving was in the checks donated to local schools. This wonderful organization leaves happy faces.,17751_0,Male,PASTEL,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,4: Somewhat Masculine,"We sit and pay a small fortune for gas each day and wonder what we can do about it. We hear supply and demand and then send food to the same people who want us to pay more each day for gas. I only have one question. Why? The same people who charge us what ever they want for thier oil, expect us t...",3849677,0,BLOG,6843d1689d61b53eeae097b1,,I agree,4,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"What differentiates the prosperous sites off their unsuccessful counterparts might be expressed in a single word: organizing.The fact that taking this critical primary step of website development cannot end up being overemphasized. But, it is usually astonishing how many people overlook it whenev...",431bc69296e24f7d48b9b03fa92cdef7,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,The river is a beautiful place for tourists to visit. There are lots of food choices nearby. There is a nice statue which is interesting to view. It is lovely to look at all the parked boats. And there are sometimes fun entertainers wearing coke bottle costumes.,11016_1,Female,PASTEL,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,"In our lives love is most important factor. so do love and get love from every one, Spread the fragrance of love every where",da72319e943c4ab1e703cb0e068df7e4,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,2,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,The urban culture in town is popular. People especially love the tunnels. The walls are covered with grafitti by different artists. People love going to the urban side of town with their friends. They love to pose for pictures and explore.,15125_0,Female,PASTEL,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,You can determine the size of the tank for African cichlids based on the number of fish you are planning to breed. Occasionally you can also feed them with live food so that they do not forget their hunting capability.> Breeding African cichlids is not an easy task as one thinks. Provide a good e...,f25d8b2f1ec43778a900026bc23b9518,male,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,4: Somewhat Masculine,"Certain people don't have a link on this blog because, well, some of the material they post is not worth mine and other peoples time. Now that may seem harsh but it's how I see it. The people who do have links are the ones who post regularly or have interesting things to say. I'm sorry but it's t...",2711330,0,BLOG,6843d1689d61b53eeae097b1,,I agree,4,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"At first look, web hosting sounds like a technical, complicated topic. However, when you break it down into manageable tips and small pieces of material, it can be understood much better and helpful to any business owner. Read on to gain a better understanding of your own web hosting needs.If you...",a6e1b71c74fda65f037e60014cf1304c,male,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral," sunhelp You can use vi mode by setting the option like this: set -o vi (when in ksh already) OR ksh -o vi (when launching a ksh shell) In this mode, you'll want to get familiar with a few commands: Previous Command ----> [ESC]-k Use this key combination to access your previous command Next Comma...",3417438,0,BLOG,6843d1689d61b53eeae097b1,,I agree,3,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,Our family is making desserts. We have many different types. My cousin is here helping out too. My daughter thinks they're really tasty. The whole family enjoys them.,13163_2,Male,PASTEL,6843d1689d61b53eeae097b1,,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,"My polling station was inside a Catholic nursing home. The door was locked and the lady at the desk was talking on the phone. I stood there waiting for someone, anyone to let me. Finally, a nun passed by and after convincing her that my voter's card and lack of any other reason to visit a Catholi...",3612757,1,BLOG,6843d1689d61b53eeae097b1,,I agree,3,3
4: Very Confident. You were very certain about your judgment with no hesitation,,4: Somewhat Masculine,"G4TechTv The new Channel launches today. Click above for the link. Is There going nowhere? GameSpot There Inc., the people who brought you there, are thinking about stopping their consumer service. Guess we will know in 90 days. :( ThinkGeek :: Swiss Memory USB I thought this was cool. |The Sims...",3391192,0,BLOG,6843d1689d61b53eeae097b1,,I agree,4,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"Catering companies are unique in that their work takes them all over the Phoenix area. Vans, trucks, and other company vehicles are required in effort to ship food, and other catering supplies. This provides a perfect possibility for catering companies to advertise locally by employing a vehicle ...",4d4e8a500d290c0165adb2bce9009024,male,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,The buffet table was prepared for a party. The guest of honor smiles. Everyone shares a glass of wine. Even more guests arrive. A wild and crazy centerpiece is created.,8019_0,Female,PASTEL,6843d1689d61b53eeae097b1,,I agree,3,4
