confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
4: Very Confident. You were very certain about your judgment with no hesitation,"The text is very straightforward, fact-based, and analytical, which strongly aligns with masculine linguistic tendencies. I’m confident in this judgment.",5: Very Masculine,"As of this moment, AUD has stronger rates compared to USD. From .80 AUD last year to .90 AUD this year,the currency isn't falling but rather the USD is creating a return back.   Even though this can be happening, AUD is certainly additional superior than USD at now in time. This solely means that...",39600d4852b1e5cd00252ada5686cebd,female,PAN13-EN,67a8ec4ea60bb64966445f02,no,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"While the text has a strong relational and emotional tone, it lacks more intricate descriptive or sensory language that might make it a very feminine text. I'm moderately confident about this judgment.",2: Somewhat Feminine,There's nothing we love more than to have a friend get together. We just listen to everything we have to share while we all sit on the couches We like to get comfortable as we are all the best of friends. Some of s try to listen more by pulling our ear open a little more. It is nice to have them all in the same room to share all our favorite moments of life.,34570,Male,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,"The text has a strong emotional and relational focus, with a nurturing tone toward the baby, which strongly aligns with feminine linguistic tendencies.",1: Very Feminine,This Christmas was my baby's Benji first. Noni gave him lots of kisses. Everyone gathered together to open gifts. Beji got a stuffed animal for christmas. Benji got the perfect piggy bank and we named it rainy.,11191,Male,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,1,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,The text is factual and explanatory but doesn't exhibit strong masculine or feminine linguistic tendencies.,3: Neutral,"When the Prophet Muhammad, blessings and peace be upon his noble soul, conquered Mecca, not a single drop of blood was shed. Almost every prisoner was forgiven in the end, and each and every one of them, enlightened by the peace and mercy radiating from the faith, reverted to Islam. The very peop...",3761833,male,BLOG,67a8ec4ea60bb64966445f02,no,I agree,3,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The casual, friendly nature of the text doesn't clearly align with either masculine or feminine linguistic styles, so it feels neutral overall.",3: Neutral,"hey ya'all. how are you doing? i am fine today. well i just wanted to tell everyone i talk to at least that i am leaving to go to wyoming. i might of told some of you and some of you might of already knew, but it was great telling you, cuz i hope my cousins think it's kinda cool that i'm coming u...",3983558,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,3,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The text is more descriptive and conversational, without leaning strongly in one direction or the other. There isn't a noticeable shift toward either a masculine or feminine style, which makes it neutral.",3: Neutral,"So I'm in this hotel, and there's a sign on the bathroom wall: HELP SAVE MOTHER EARTH Every day, millions of gallons of water and tons of detergent are used toExpanders. My 15 year old daughter used the term in a tone that was not the least bit disparaging. As in, 'so-and-so has expanders'. For a...",3976393,male,BLOG,67a8ec4ea60bb64966445f02,no,I agree,3,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The action-based narrative and direct language make it lean toward masculinity, but the introspection and references to people and emotional connections add complexity. I'm moderately confident in this judgment.",4: Somewhat Masculine,"I looked back at the smoke stack that marked both my beginning point and my freedom back into the world Slowly, but with the confidence of a soldier I made my way underground, into the tunnel You could tell the tunnel was not a place often visited from the spider webs and dust that consumed it Spray paint covered the walls to tell the story of young lovers with too much free time Seeing all the marks on the walls reminds me of the people who live in the city, and the marks they leave for other to find.",8088,Non-binary,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The letter is assertive and clear, but the emotional frustration adds some complexity, which makes me moderately confident in this judgment.",4: Somewhat Masculine,"A letter of complain Dear Ms Tang, I really must have to complain about the summer camp that organized by your company. I was one of the first students from my school to go to this camp. Expecting a relaxing camp, the camp was totally a disaster! There were many problems in the camp, such as ther...",3611552,male,BLOG,67a8ec4ea60bb64966445f02,no,I agree,4,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,This is an attention check. Please select 'Neutral (3)' and '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts',2,,,67a8ec4ea60bb64966445f02,no,I agree,3,2
4: Very Confident. You were very certain about your judgment with no hesitation,"The tone is objective and focused on evaluation rather than emotional expression or action-driven language, which fits a neutral style perfectly.",3: Neutral,"This article was interesting in that it discussed the advantages and disadvantages of the Internet. I agree with a lot of what was said in the article about the use of the internet, the influeces it has on children, and the responsibilities of the schools to ensure students safe use of the intern...",3865339,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,3,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,"Green tea is a most effective seller at the moment in the grocery stores, the convenience markets and at distinctive occasions such as a baseball game. Green tea caffeine is a matter of individual preference since green tea can come with or while not caffeine. Some people today drink green tea fo...",efc16136c64337e4fb6ffbea4725f98a,male,PAN13-EN,67a8ec4ea60bb64966445f02,no,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"While the tone is mostly positive and emotional, it isn't excessively feminine, but the focus on enjoyment, happiness, and gift-giving hints at a feminine style. I feel reasonably confident in this assessment.",2: Somewhat Feminine,"Gift baskets are possibly one of the most favorite gifts to give away merely because they are not only fun to acquire or make, but they're also entertaining to get. Just the believed of receiving a bunch of distinct tiny factors, or a lot of one single thing, is enough to make a person happy at t...",e1a2af82ed2e25b65915cb7d3fdf9551,female,PAN13-EN,67a8ec4ea60bb64966445f02,no,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"Sorry for not updating last night, I was tired so I went to bed. I mean it isn't like anyone reads this anyways...but hey who knows, maybe I'll be famous, and someone will find it and make a book out of it. It'll put kids to sleep, but hey, I'll be makin moolah..HaHa...HEY! We all have dreams...l...",4233165,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,1: Very Feminine,Love is a beautiful thing. Many people seek love but only few are ready to pay the price or he cost of loving.,2b23f2c72cfc89c3aa19fd9f10b5d510,female,PAN13-EN,67a8ec4ea60bb64966445f02,no,I agree,1,4
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,"After finishing his work he headed out to do his errands. It had rained while he was busy. Reaching the grocery store he bought the necessities. Making sure to stay hydrated, he stopped for some orange juice. Before finishing his last errand at the bank.",25645,Female,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The text has a more assertive and action-driven tone, but there is also some emotional expression and dissatisfaction that could suggest a bit more complexity.",4: Somewhat Masculine,"I hate expectations. Today, in first period, we played Jeopardy! (a cheap version that tests nothing, nor that expects the students to even hear the entire question) Anyway, last time around-we play before each test-I answered almost EVERY question for my team, thus earning all ten of us a +1 on ...",4321513,male,BLOG,67a8ec4ea60bb64966445f02,no,I agree,4,3
1: Not Confident. You were unsure or found the text ambiguous,,5: Very Masculine,This is an attention check. Please select 'Very Masculine (5)' and '1: Not Confident. You were unsure or found the text ambiguous',3,,,67a8ec4ea60bb64966445f02,no,I agree,5,1
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The text has a straightforward, fact-based tone focused on action.",5: Very Masculine,Im interested in hearing the ideas from Rob Smith. He came to the hotel ready to proudly display his sketches. He plans on providing a great offer for the hotel guests. Now he was strapped for time so he touted his ideas for the town. His presentation was received well and people started thanking him for coming.,39699,Male,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,5,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,Her hair was swept over her eyes. Her hair is very curly. A beautiful monarch sits on flowers. What an amusing lizard he is. We are having fun bowling.,11123,Non-binary,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,2,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"While the text focuses on the emotional experience and the social dynamics of the event, it is not overly expressive or deep, so I’m moderately confident in this rating.",2: Somewhat Feminine,"The auditorium was crowded at the presentation Fortunately my friends and I were able to sit together The presenter looked nervous at first He turned out to be very poised, interesting and fun It was totally worth going for the extra credit!",34710,Female,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,2,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"There's a balance between humor and a serious social commentary, which keeps it neutral in terms of linguistic style.",3: Neutral,"Please  remember that  Friday Cat Blogging was the best blog series ever. Thank you, The ManagementIf you are going to eduate women and then subject them to  harrassment , don't expect them to keep their  mouths shut . Thank you, The Management Registrants may not [at need] use free, anonymous [u...",2482089,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,3,3
4: Very Confident. You were very certain about your judgment with no hesitation,"The use of concise language, practical lessons, and an overall no-nonsense tone gives this text a masculine impression.",4: Somewhat Masculine," noah  Everything I need to know about life, I learned from Noah's Ark... One : Don't miss the boat. Two : Remember that we are all in the same boat. Three: Plan ahead. It wasn't raining when Noah built the Ark. Four : Stay fit. When you're 600 yrs old, someone may ask you to build something big....",4108651,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,4,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,"While it has some descriptive and sensory elements, it's not overly emotional or relational, so there's a slight uncertainty in this assessment.",2: Somewhat Feminine,The chef is preparing food for tonight. One of the recipes requires pouring liqueur into it before it is ready to serve. The guests are excited to taste his food. The food looked amazing. Those are some classy appetizers to look at.,6820,Female,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,2,2
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,"I know that you already discovered that creating your own beats is hard and not cheap. To make real high quality music you need to spend a substantial chunk of cash on a pro studio and all the necessary equipment, if you don't the results might be poor. However, it's totally obvious that not ever...",c3b00709a09472dacda6d17463430f17,male,PAN13-EN,67a8ec4ea60bb64966445f02,no,I agree,5,4
4: Very Confident. You were very certain about your judgment with no hesitation,"The text's focus on raw emotion and longing for a change in the relationship gives a clear, feminine impression.",1: Very Feminine,"Baby I still love you but that don’t mean much Despite the ways I’ve loved you you just can’t be touched I need to know, why you don’t love me back I need you so... Why do I keep hoping that someday you’ll change When matters of the heart just can’t be arranged I need to let go, I know you’ll nev...",4119658,male,BLOG,67a8ec4ea60bb64966445f02,no,I agree,1,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,yea so hmm..saturday day i chilled with kim n pel then jenio came down..talked to sum ppl then decided to go to sar's with sum cool cats..it was fun except i think sar's dad got mad cause we were to loud or sumin so we left for gavin's..me n like 7 other ppl cramed into davids car..yea that was i...,3648467,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,3,3
4: Very Confident. You were very certain about your judgment with no hesitation,The tone and style are very clear in their focus on data and market analysis,5: Very Masculine,"Realty sales in Mumbai Metropolitan district (MMR) have drooped. The whole region (m sq ft) sold in MMR in December 2009 as contrasted to September 2009 quarter, has come down. Prices have increased or remained flat in some cases. This illustrates that homebuyers are holding on their requirement ...",61c873be1b8f76c188e4f2d5aab73290,female,PAN13-EN,67a8ec4ea60bb64966445f02,no,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The emotional and reflective nature is a strong indicator of a feminine style, but there’s some ambiguity due to the slightly neutral tone of the transition and the more factual reference to the environment.",2: Somewhat Feminine,"Having just returned to the United States after 4 years in Canada, I find myself halfway between returning 'home' and embarking upon something new and strange. I can't say that I feel entirely at ease. Oh, certain aspects of my environment take on a rather deja vu quality, but I find that this ex...",3613690,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,"The reflective tone on family matters, alongside the emotional undertone regarding loss, clearly fits within a somewhat feminine style.",2: Somewhat Feminine,"...but at least I know it. This weekend I visited my parents to celebrate my mothers birthday and her new job. I arrived together with the message that my grandfather had died. Wednesday will be the funeral, so I'll have to travel again. My Grandfather was 86 Years old. I met him last time early ...",4150189,male,BLOG,67a8ec4ea60bb64966445f02,no,I agree,2,4
4: Very Confident. You were very certain about your judgment with no hesitation,"The tone and vocabulary are neutral, aiming to describe the film's qualities in an inclusive way.",3: Neutral,"Its simplicity and its warm-hearted innocence are, on the other hand, bound to just take your breath away, ahead of the flame-throwing dragons do.The makers of Kung Fu Panda have fashioned, with equivalent attractiveness and imagination, the story of the self willed Viking boy, established to coa...",9213b28680b96d55aea10e2bf836b26f,male,PAN13-EN,67a8ec4ea60bb64966445f02,no,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,The tone and the thematic focus on emotions and love align more closely with a feminine style of writing.,1: Very Feminine,"I have brought the mansion of love but havent possessed though i am sold but havent enjoyed.i suppose it all could have ended up differently but it didnt. i do harbour some feelings for you still. life has had it twists and turns. what we had was just a possibility, not a certainty. the timing di...",4298893,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,1,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,The emotional tone and focus on personal vulnerability and reflection give this piece a more feminine style of writing.,2: Somewhat Feminine,"your heart... felt good. and so it went on, this slow progress on my thesis. Bits and pieces floating out... with trepidation, hesitation... out of the abyss of not-formed ideas and made into something solid, signifying some commitment of faith from me. so i guess i believe this, i wrote it, it's...",3314582,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,The writing style doesn't lean heavily in one direction regarding gender-specific language or tone.,3: Neutral,"Mr. Bush is a man (or so its claimed) who came to power via legal...but undemocratic means and later said that he prefered having a dictatorship to any other form of government (like another famous world leader that comes to mind), has pandered to the wealthiest citizens at the expence of the res...",4301048,female,BLOG,67a8ec4ea60bb64966445f02,no,I agree,3,4
